match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed
1,1,Punjab Kings,Delhi Capitals,0,1,S Dhawan,K Yadav,L Livingstone,1,0,1,0,,
1,1,Punjab Kings,Delhi Capitals,0,2,S Dhawan,K Yadav,L Livingstone,6,1,7,0,,
1,1,Punjab Kings,Delhi Capitals,0,3,S Dhawan,K Yadav,L Livingstone,1,0,1,0,,
1,1,Punjab Kings,Delhi Capitals,0,4,S Dhawan,K Yadav,L Livingstone,4,0,4,0,,
1,1,Punjab Kings,Delhi Capitals,0,5,S Dhawan,K Yadav,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,0,6,S Dhawan,K Yadav,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,1,1,S Dhawan,D Warner,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,1,2,S Dhawan,D Warner,L Livingstone,0,0,0,0,,
1,1,Punjab Kings,Delhi Capitals,1,3,S Dhawan,D Warner,L Livingstone,1,0,1,0,,
1,1,Punjab Kings,Delhi Capitals,1,4,S Dhawan,D Warner,L Livingstone,3,0,3,0,,
1,1,Punjab Kings,Delhi Capitals,1,5,S Dhawan,D Warner,L Livingstone,4,0,4,0,,
1,1,Punjab Kings,Delhi Capitals,1,6,S Dhawan,D Warner,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,2,1,S Dhawan,R Pant,L Livingstone,0,0,0,0,,
1,1,Punjab Kings,Delhi Capitals,2,2,S Dhawan,R Pant,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,2,3,S Dhawan,R Pant,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,2,4,S Dhawan,R Pant,L Livingstone,0,0,0,0,,
1,1,Punjab Kings,Delhi Capitals,2,5,S Dhawan,R Pant,L Livingstone,6,0,6,0,,
1,1,Punjab Kings,Delhi Capitals,2,6,S Dhawan,R Pant,L Livingstone,0,0,0,0,,
